Column,Missing_Percentage
ACS_PCT_HOUSEHOLDER_WHITE,0.24775472282440383
ACS_PCT_HOUSEHOLDER_BLACK,0.24775472282440383
ACS_PCT_HOUSEHOLDER_AIAN,0.24775472282440383
ACS_PCT_HOUSEHOLDER_ASIAN,0.24775472282440383
ACS_PCT_HOUSEHOLDER_NHPI,0.24775472282440383
ACS_PCT_HOUSEHOLDER_OTHER,0.24775472282440383
ACS_PCT_HOUSEHOLDER_MULT,0.24775472282440383
ACS_PCT_AIAN_COMB,0.24775472282440383
ACS_PCT_ASIAN_COMB,0.24775472282440383
ACS_PCT_BLACK_COMB,0.24775472282440383
ACS_PCT_NHPI_COMB,0.24775472282440383
ACS_PCT_WHITE_COMB,0.24775472282440383
ACS_PCT_CHILD_1FAM,0.2787240631774543
ACS_PCT_CHILDREN_GRANDPARENT,0.24775472282440383
ACS_PCT_GRANDP_RESPS_NO_P,1.4555589965933726
ACS_PCT_GRANDP_RESPS_P,1.4555589965933726
ACS_PCT_GRANDP_NO_RESPS,1.4555589965933726
ACS_PCT_HH_KID_1PRNT,0.24775472282440383
ACS_PCT_HH_NO_COMP_DEV,0.24775472282440383
ACS_PCT_HH_SMARTPHONE,0.24775472282440383
ACS_PCT_HH_SMARTPHONE_ONLY,0.24775472282440383
ACS_PCT_HH_TABLET,0.24775472282440383
ACS_PCT_HH_TABLET_ONLY,0.24775472282440383
ACS_PCT_HH_PC,0.24775472282440383
ACS_PCT_HH_PC_ONLY,0.24775472282440383
ACS_PCT_HH_OTHER_COMP,0.24775472282440383
ACS_PCT_HH_OTHER_COMP_ONLY,0.24775472282440383
ACS_PCT_HH_INTERNET,0.24775472282440383
ACS_PCT_HH_INTERNET_NO_SUBS,0.24775472282440383
ACS_PCT_HH_BROADBAND,0.24775472282440383
ACS_PCT_HH_BROADBAND_ONLY,0.24775472282440383
ACS_PCT_HH_BROADBAND_ANY,0.24775472282440383
ACS_PCT_HH_CELLULAR,0.24775472282440383
ACS_PCT_HH_CELLULAR_ONLY,0.24775472282440383
ACS_PCT_HH_NO_INTERNET,0.24775472282440383
ACS_PCT_HH_SAT_INTERNET,0.24775472282440383
ACS_PCT_HH_DIAL_INTERNET_ONLY,0.24775472282440383
ACS_PCT_DIVORCED_F,0.24775472282440383
ACS_PCT_DIVORCED_M,0.24775472282440383
ACS_PCT_MARRIED_SP_AB_F,0.24775472282440383
ACS_PCT_MARRIED_SP_AB_M,0.24775472282440383
ACS_PCT_MARRIED_SP_PR_F,0.24775472282440383
ACS_PCT_MARRIED_SP_PR_M,0.24775472282440383
ACS_PCT_NVR_MARRIED_F,0.24775472282440383
ACS_PCT_NVR_MARRIED_M,0.24775472282440383
ACS_PCT_WIDOWED_F,0.24775472282440383
ACS_PCT_WIDOWED_M,0.24775472282440383
ACS_PCT_POP_SAME_SEX_UNMRD_P,0.24775472282440383
ACS_PCT_POP_SAME_SEX_SPOUSE,0.24775472282440383
ACS_PCT_ADMIN,0.24775472282440383
ACS_PCT_ART,0.24775472282440383
ACS_PCT_CONSTRUCT,0.24775472282440383
ACS_PCT_EDUC,0.24775472282440383
ACS_PCT_FINANCE,0.24775472282440383
ACS_PCT_GOVT,0.24775472282440383
ACS_PCT_INFORM,0.24775472282440383
ACS_PCT_MANUFACT,0.24775472282440383
ACS_PCT_NATURE,0.24775472282440383
ACS_PCT_OTHER,0.24775472282440383
ACS_PCT_PROFESS,0.24775472282440383
ACS_PCT_PVT_NONPROFIT,0.24775472282440383
ACS_PCT_PVT_PROFIT,0.24775472282440383
ACS_PCT_RETAIL,0.24775472282440383
ACS_PCT_TRANSPORT,0.24775472282440383
ACS_PCT_WHOLESALE,0.24775472282440383
ACS_PCT_WORK_RES_F,0.24775472282440383
ACS_PCT_WORK_RES_M,0.24775472282440383
ACS_PCT_EMPLOYED,0.24775472282440383
ACS_PCT_UNEMPLOY,0.24775472282440383
ACS_PCT_NOT_LABOR,0.24775472282440383
ACS_PCT_VET_UNEMPL_18_64,0.5574481263549086
ACS_PCT_VET_LABOR_FORCE_18_64,0.3406627438835553
ACS_PCT_ARMED_FORCES,0.24775472282440383
ACS_GINI_INDEX,0.24775472282440383
ACS_MDN_GRNDPRNT_NO_PRNT_INC,40.75565190461443
ACS_MDN_GRNDPRNT_INC,23.505729327965312
ACS_MEDIAN_HH_INC_AIAN,57.57200371632084
ACS_MEDIAN_HH_INC_ASIAN,56.983586249612884
ACS_MEDIAN_HH_INC_BLACK,39.17621554660886
ACS_MEDIAN_HH_INC_HISP,21.244967482192628
ACS_MEDIAN_HH_INC_MULTI,27.965314338804582
ACS_MEDIAN_HH_INC_NHPI,92.25766491173738
ACS_MEDIAN_HH_INC_OTHER,46.94951997522453
ACS_MEDIAN_HH_INC_WHITE,2.167853824713534
ACS_MEDIAN_HH_INC,0.2787240631774543
ACS_MEDIAN_INC_F,0.2787240631774543
ACS_MEDIAN_INC_M,0.3096934035305048
ACS_MEDIAN_NONVET_INC,0.2787240631774543
ACS_MEDIAN_VET_INC,1.2697429544750698
ACS_PCT_INC50_ABOVE65,0.24775472282440383
ACS_PCT_INC50_BELOW17,0.2787240631774543
ACS_PCT_HEALTH_INC_BELOW137,0.24775472282440383
ACS_PCT_HEALTH_INC_138_199,0.24775472282440383
