iter	Logloss
0	0.6076565984
1	0.5871200527
2	0.5773554079
3	0.5720732641
4	0.5685505121
5	0.5659807075
6	0.5643797295
7	0.5623762289
8	0.561112467
9	0.5601803522
10	0.5594282156
11	0.5584811283
12	0.5580925758
13	0.5569374547
14	0.5563251887
15	0.5558619551
16	0.5547579317
17	0.5542257715
18	0.5535987056
19	0.5531611209
20	0.5527924564
21	0.5520338701
22	0.5514827247
23	0.5509856235
24	0.5502379598
25	0.5497626236
26	0.5491461071
27	0.5484956428
28	0.5478049583
29	0.546746491
30	0.5460021033
31	0.5458049161
32	0.5447912204
33	0.544171822
34	0.5435193824
35	0.5427215266
36	0.5419989188
37	0.5416070661
38	0.5411644386
39	0.5405995752
40	0.5397812828
41	0.5392482759
42	0.5385490819
43	0.5380293
44	0.5376369651
45	0.5374126607
46	0.5369264602
47	0.5363963069
48	0.5358306473
49	0.5352577431
50	0.5346876745
51	0.5343843793
52	0.5338616627
53	0.5333377747
54	0.5330676791
55	0.5325798937
56	0.5318842426
57	0.5313744396
58	0.5309152145
59	0.530412014
60	0.530039288
61	0.5295186872
62	0.5291000277
63	0.5284500567
64	0.5280165567
65	0.5276246332
66	0.5273311973
67	0.5269185098
68	0.526408904
69	0.5260367456
70	0.5256406941
71	0.525032297
72	0.524506928
73	0.5239935931
74	0.5236361075
75	0.5230000518
76	0.5225431855
77	0.5221468696
78	0.5215512223
79	0.5210221322
80	0.5203528324
81	0.5199926794
82	0.5197005882
83	0.5193859021
84	0.5190384463
85	0.5187437152
86	0.5184683406
87	0.5178856021
88	0.5172715857
89	0.5169224881
90	0.5164824266
91	0.5160174299
92	0.5154616887
93	0.5151322142
94	0.5146216947
95	0.5143708551
96	0.5139341366
97	0.5134639502
98	0.5131306193
99	0.5125313472
