County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PopulationAttributableProportion
Clay,Attainment,% BACHELOR DGR,4.0630147245562345,0.297868022081377,0.0014244481931017072,0.0
Cochran,Attainment,% BACHELOR DGR,7.360318608777098,0.5396001970247949,0.0006432176059128444,0.0
Coke,Attainment,% BACHELOR DGR,0.17531860877709882,0.012852970213194802,1.976040100657156e-05,0.0
Coleman,Attainment,% BACHELOR DGR,0.07365194211043047,0.005399576375220287,1.9417974364820728e-05,1.0
Collin,Attainment,% BACHELOR DGR,19.903726845768354,1.4591834264751673,0.726939307992688,1.0
Collingsworth,Attainment,% BACHELOR DGR,4.589681391222902,0.336479045897769,0.0004176268594639514,0.0
Colorado,Attainment,% BACHELOR DGR,0.7343186087770981,0.053834417643631,0.0005179366387317725,0.0
Comal,Attainment,% BACHELOR DGR,10.16756017910169,0.7454048890441017,0.056340971509759474,1.0
Comanche,Attainment,% BACHELOR DGR,1.2436813912229017,0.0911768578794511,0.0005800811670202108,0.0
Concho,Attainment,% BACHELOR DGR,2.9703186087770987,0.21776020736537605,0.00033662314548759103,0.0
