zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
79233,PO BOX,0,Estelline,,,TX,Hall County,America/Chicago,"806, 940",NA,US,34.52,-100.53,154
79234,STANDARD,0,Flomot,,,TX,Motley County,America/Chicago,806,NA,US,34.22,-100.98,71
79235,STANDARD,0,Floydada,,,TX,Floyd County,America/Chicago,806,NA,US,33.98,-101.33,2960
79236,PO BOX,0,Guthrie,,,TX,King County,America/Chicago,"806, 940",NA,US,33.62,-100.32,236
79237,STANDARD,0,Hedley,,,TX,Donley County,America/Chicago,806,NA,US,34.86,-100.65,360
79239,STANDARD,0,Lakeview,,,TX,Hall County,America/Chicago,806,NA,US,34.67,-100.69,167
79240,STANDARD,0,Lelia Lake,,,TX,Donley County,America/Chicago,806,NA,US,34.9,-100.77,67
79241,STANDARD,0,Lockney,,,TX,Floyd County,America/Chicago,806,NA,US,34.12,-101.44,1930
79243,STANDARD,0,Mcadoo,,,TX,Dickens County,America/Chicago,806,NA,US,33.77,-100.96,79
79244,STANDARD,0,Matador,,,TX,Motley County,America/Chicago,806,NA,US,34.01,-100.82,570
79245,STANDARD,0,Memphis,,,TX,Hall County,America/Chicago,"806, 940",NA,US,34.72,-100.54,1770
79247,STANDARD,0,Odell,,,TX,Wilbarger County,America/Chicago,"580, 940",NA,US,34.4,-99.38,47
79248,STANDARD,0,Paducah,Dumont,Chalk,TX,Cottle County,America/Chicago,"806, 940",NA,US,34.01,-100.3,1130
79250,STANDARD,0,Petersburg,,,TX,Hale County,America/Chicago,806,NA,US,33.87,-101.59,1220
79251,STANDARD,0,Quail,,,TX,Collingsworth County,America/Chicago,806,NA,US,34.9,-100.4,59
79252,STANDARD,0,Quanah,,,TX,Hardeman County,America/Chicago,"580, 940",NA,US,34.29,-99.74,2390
79255,STANDARD,0,Quitaque,,,TX,Briscoe County,America/Chicago,806,NA,US,34.36,-101.05,370
79256,STANDARD,0,Roaring Springs,Roaring Spngs,,TX,Motley County,America/Chicago,806,NA,US,33.89,-100.85,230
79257,STANDARD,0,Silverton,,,TX,Briscoe County,America/Chicago,806,NA,US,34.47,-101.3,830
79258,PO BOX,0,South Plains,,,TX,Floyd County,America/Chicago,806,NA,US,34.22,-101.3,71
