County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PAP_Urban,PAP_Rural
Anderson,Attainment,% BACHELOR DGR,5.852780190557961,0.4273834680274271,0.02322531821649984,0.3214,0.6786000000000001
Andrews,Attainment,% BACHELOR DGR,2.2469468572246267,0.1640772263860537,0.008916455782637406,0.8168000000000001,0.1832
Angelina,Attainment,% BACHELOR DGR,1.045875428653197,0.07637222879881682,0.004150299320052369,0.48090000000000005,0.5191
Aransas,Attainment,% BACHELOR DGR,1.5537349609571933,0.11345729967453974,0.006165614924433306,0.7642,0.23579999999999995
Archer,Attainment,% BACHELOR DGR,0.4688864761087075,0.03423916869350165,0.0018606606194789977,0.1264,0.8735999999999999
Armstrong,Attainment,% BACHELOR DGR,3.6455531427753733,0.2662066734628372,0.014466480725299097,0.0,1.0
Atascosa,Attainment,% BACHELOR DGR,2.6382930110707807,0.19265422244337865,0.010469416710598336,0.2855,0.7144999999999999
Austin,Attainment,% BACHELOR DGR,1.2530531427753733,0.09150082189075888,0.00497243310625148,0.21170000000000003,0.7883
Bailey,Attainment,% BACHELOR DGR,1.1544468572246274,0.0843003641739344,0.00458113832231995,0.7472,0.2528
Bandera,Attainment,% BACHELOR DGR,2.2384102856325168,0.16345386629848607,0.008882580498541731,0.0,1.0
Bastrop,Attainment,% BACHELOR DGR,1.0969817142039453,0.08010412728902759,0.004353102040491846,0.28,0.72
Baylor,Attainment,% BACHELOR DGR,3.870553142775371,0.2826366908520607,0.015359337868156233,0.0,1.0
Bee,Attainment,% BACHELOR DGR,6.776669079446849,0.4948479591836714,0.02689154396605892,0.4583,0.5417
Bell,Attainment,% BACHELOR DGR,2.066599654403282,0.15090785892626463,0.008200792279378102,0.8631,0.1369
Bexar,Attainment,% BACHELOR DGR,3.4059832503022527,0.2487127290216469,0.013515806548818461,0.9529,0.0471
Blanco,Attainment,% BACHELOR DGR,5.685553142775376,0.41517216445846533,0.022561718820537202,0.0,1.0
Borden,Attainment,% BACHELOR DGR,22.485553142775373,1.6419467961871654,0.08922838548720385,0.0,1.0
Bosque,Attainment,% BACHELOR DGR,1.1444468572246258,0.08357014117885768,0.0045414557826374035,0.0,1.0
Bowie,Attainment,% BACHELOR DGR,0.540600703378475,0.039475906476155065,0.0021452408864225197,0.6206,0.3794
Brazoria,Attainment,% BACHELOR DGR,6.033501860724094,0.44058017995382315,0.023942467701286083,0.774,0.226
Brazos,Attainment,% BACHELOR DGR,8.547616634838864,0.6241666219858667,0.03391911363031295,0.8815,0.1185
Brewster,Attainment,% BACHELOR DGR,11.965553142775374,0.8737522053665746,0.04748235374117211,0.6582,0.34180000000000005
Briscoe,Attainment,% BACHELOR DGR,0.5144468572246268,0.03756609248903148,0.0020414557826374078,0.0,1.0
Brooks,Attainment,% BACHELOR DGR,2.039446857224627,0.14892509923821412,0.00809304308422471,0.6355,0.36450000000000005
Brown,Attainment,% BACHELOR DGR,0.5717069889292219,0.041747358976212526,0.002268678527496912,0.5660000000000001,0.434
Burleson,Attainment,% BACHELOR DGR,0.9241245713468018,0.06748170123127475,0.003667160997407943,0.0,1.0
Burnet,Attainment,% BACHELOR DGR,3.992219809442041,0.291521070625493,0.01584214210096048,0.32680000000000003,0.6732
Caldwell,Attainment,% BACHELOR DGR,3.262628675406445,0.23824464831781184,0.012946939188120812,0.4541,0.5459
Calhoun,Attainment,% BACHELOR DGR,4.329446857224626,0.31614616511075716,0.017180344671526293,0.5996,0.4004
Callahan,Attainment,% BACHELOR DGR,3.218886476108704,0.23505049233956843,0.012773359032177396,0.0,1.0
Cameron,Attainment,% BACHELOR DGR,2.1921968572246264,0.16007925548800925,0.0086991938778755,0.8241999999999999,0.17579999999999998
Camp,Attainment,% BACHELOR DGR,0.7122198094420398,0.05200792824036569,0.002826269085087459,0.0,1.0
